Geneid,Chr,Start,End,Strand,Length,raw_count_1,raw_count_2,raw_count,FPKM
dsim_GLEANR_6736:8,2L,17665,17794,-,130,94,84,89,75.3505698
dsim_GLEANR_6736:7,2L,17858,17966,-,109,6,10,8,8.077991196
dsim_GLEANR_6736:6,2L,18229,18671,-,443,135,139,137,34.03742735
dsim_GLEANR_6736:5,2L,18744,19386,-,643,92,95,93.5,16.00444154
dsim_GLEANR_6736:4,2L,19952,20057,-,106,3,4,3.5,3.634143445
dsim_GLEANR_6736:3,2L,20115,21306,-,1192,30,34,32,2.954701478
dsim_GLEANR_6736:2,2L,21365,22143,-,779,10,9,9.5,1.342227196
dsim_GLEANR_6736:1,2L,23542,23625,-,84,10,8,9,11.79242465
dsim_GLEANR_6735:3,2L,25526,26294,-,769,324,335,329.5,47.15947542
dsim_GLEANR_6735:2,2L,26502,26550,-,49,26,27,26.5,59.52366727
dsim_GLEANR_6735:1,2L,26609,26849,-,241,81,89,85,38.81876993
dsim_GLEANR_6734:16,2L,30099,30266,-,168,104,97,100.5,65.84103761
dsim_GLEANR_6734:15,2L,30342,30540,-,199,40,36,38,21.01698463
dsim_GLEANR_6734:14,2L,30631,31068,-,438,81,92,86.5,21.73611301
dsim_GLEANR_6734:13,2L,31438,31644,-,207,28,26,27,14.35599522
dsim_GLEANR_6734:12,2L,31834,32062,-,229,9,6,7.5,3.604671289
dsim_GLEANR_6734:11,2L,32155,32348,-,194,9,11,10,5.673331445
dsim_GLEANR_6734:10,2L,32404,32490,-,87,0,0,0,0
dsim_GLEANR_6734:9,2L,35125,35404,-,280,10,9,9.5,3.734267805
dsim_GLEANR_6734:8,2L,35738,35891,-,154,2,4,3,2.144077209
dsim_GLEANR_6734:7,2L,36110,36833,-,724,2,2,2,0.3040404145
dsim_GLEANR_6734:6,2L,38598,39047,-,450,6,6,6,1.467501734
dsim_GLEANR_6734:5,2L,39331,39377,-,47,0,2,1,2.341758086
dsim_GLEANR_6734:4,2L,41004,43356,-,2353,3,2,2.5,0.116938621
dsim_GLEANR_6734:3,2L,43595,43791,-,197,5,2,3.5,1.955427437
dsim_GLEANR_6734:2,2L,44315,44871,-,557,12,11,11.5,2.272388232
dsim_GLEANR_6734:1,2L,58959,59028,-,70,0,0,0,0
dsim_GLEANR_6737:1,2L,67591,67728,+,138,6,4,5,3.987776451
dsim_GLEANR_6737:2,2L,67840,67971,+,132,5,2,3.5,2.918327312
dsim_GLEANR_6737:3,2L,68029,68330,+,302,12,13,12.5,4.555572435
dsim_GLEANR_6737:4,2L,68939,70675,+,1737,575,566,570.5,36.14895247
dsim_GLEANR_6737:5,2L,70733,71021,+,289,255,280,267.5,101.8745797
dsim_GLEANR_6738:1,2L,72681,73055,+,375,122,122,122,35.80704231
dsim_GLEANR_6738:2,2L,75304,75419,+,116,106,75,90.5,85.86782775
dsim_GLEANR_6738:3,2L,75479,76499,+,1021,1443,1433,1438,155.0147522
dsim_GLEANR_6733:2,2L,83729,84738,-,1010,79,70,74.5,8.118481127
dsim_GLEANR_6733:1,2L,87498,87585,-,88,3,3,3,3.752135115
dsim_GLEANR_6739:1,2L,95428,95468,+,41,0,0,0,0
dsim_GLEANR_6739:2,2L,95569,95650,+,82,1,0,0.5,0.6711135978
dsim_GLEANR_6739:3,2L,95712,95881,+,170,1,2,1.5,0.9711408533
dsim_GLEANR_6739:4,2L,95934,98413,+,2480,45,45,45,1.997104174
dsim_GLEANR_6739:5,2L,98464,99050,+,587,9,10,9.5,1.781252105
dsim_GLEANR_6739:6,2L,99108,100304,+,1197,113,106,109.5,10.06838596
dsim_GLEANR_6739:7,2L,100366,101097,+,732,237,227,232,34.88323794
dsim_GLEANR_6739:8,2L,101153,101284,+,132,28,35,31.5,26.2649458
dsim_GLEANR_6739:9,2L,101344,101524,+,181,52,64,58,35.26868808
dsim_GLEANR_6739:10,2L,101598,101776,+,179,75,77,76,46.73050214
dsim_GLEANR_6739:11,2L,101831,102201,+,371,266,275,270.5,80.24782055
dsim_GLEANR_6739:12,2L,102492,102534,+,43,59,51,55,140.7777826
