Geneid	Chr	Start	End	Strand	Length	D:\class\2023-1\bioinf\finalproject\data\D_sech_taiwan\output\SRR1952772_1_alignment.sam	D:\class\2023-1\bioinf\finalproject\data\D_sech_taiwan\output\SRR1952772_2_alignment.sam
FBgn0012779	scaffold_0;scaffold_0	5469242;5469422	5469356;5469474	+;+	168	0	0
FBgn0025652	scaffold_4;scaffold_4	4890904;4891056	4890996;4891154	-;-	192	2	3
FBgn0012801	scaffold_10;scaffold_10;scaffold_10	2114749;2115238;2115842	2115116;2115779;2116653	+;+;+	1722	364	344
FBgn0023643	scaffold_0;scaffold_0	4368696;4370143	4370082;4370390	+;+	1635	5	6
FBgn0025047	scaffold_6;scaffold_6;scaffold_6	4283008;4283779;4285320	4283459;4284389;4285504	-;-;-	1248	0	0
FBgn0044211	scaffold_1	6892478	6893155	+	678	13	11
FBgn0084098	scaffold_2;scaffold_2;scaffold_2	2284884;2287023;2287301	2286662;2287183;2287991	-;-;-	2631	300	283
FBgn0064377	scaffold_1;scaffold_1	10142854;10143237	10143174;10143278	-;-	363	2	2
FBgn0025056	scaffold_2	3187703	3189856	+	2154	16333	15956
FBgn0064378	scaffold_7;scaffold_7;scaffold_7	1982718;1984936;1985483	1984376;1985424;1985692	-;-;-	2358	5	4
FBgn0082780	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13708526;13708676;13708882;13709102;13709360;13709556;13709909;13710365;13710873	13708618;13708827;13709045;13709283;13709509;13709708;13710081;13710799;13710957	-;-;-;-;-;-;-;-;-	1587	692	674
FBgn0082775	scaffold_1;scaffold_1;scaffold_1;scaffold_1	13696610;13696893;13698200;13698915	13696829;13698132;13698395;13698965	-;-;-;-	1707	602	602
FBgn0084181	scaffold_33;scaffold_33	110756;110914	110852;111404	+;+	588	85	89
FBgn0023627	scaffold_0;scaffold_0	3327907;3329034	3328302;3329099	-;-	462	3470	3364
FBgn0015665	scaffold_7;scaffold_7;scaffold_7;scaffold_7	3063225;3063608;3066715;3067196	3063548;3066648;3067138;3067753	-;-;-;-	4347	340	332
FBgn0025653	scaffold_4;scaffold_4	4888667;4888824	4888765;4888916	+;+	192	26	27
FBgn0025046	scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2	397100;397636;398568;398854;399024;399819;400223;400522;401063;403306;406188	397348;398506;398715;398960;399217;399905;400344;400825;401130;403541;406432	-;-;-;-;-;-;-;-;-;-;-	2631	6	8
FBgn0064374	scaffold_1;scaffold_1	13715513;13716247	13716187;13716354	-;-	783	32	30
FBgn0084208	scaffold_1;scaffold_1	13989702;13990121	13990055;13990177	-;-	411	10	10
