Geneid,Chr,Start,End,Strand,Length,raw_count_1,raw_count_2,raw_count,FPKM
Acp70A,scaffold_0;scaffold_0,5469242;5469422,5469356;5469474,+;+,168,2,2,2,0.6084383322
CecB,scaffold_4;scaffold_4,4890904;4891056,4890996;4891154,-;-,192,22,29,25.5,6.787890143
z,scaffold_10;scaffold_10;scaffold_10,2114749;2115238;2115842,2115116;2115779;2116653,+;+;+,1722,722,707,714.5,21.20630187
Est-P,scaffold_0;scaffold_0,4368696;4370143,4370082;4370390,+;+,1635,22,23,22.5,0.703332384
FBgn0025047,scaffold_6;scaffold_6;scaffold_6,4283008;4283779;4285320,4283459;4284389;4285504,-;-;-,1248,2,2,2,0.0819051601
cid,scaffold_1,6892478,6893155,+,678,37,33,35,2.638360909
oxt,scaffold_2;scaffold_2;scaffold_2,2284884;2287023;2287301,2286662;2287183;2287991,-;-;-,2631,439,418,428.5,8.323880398
Acp53Ea,scaffold_1;scaffold_1,10142854;10143237,10143174;10143278,-;-,363,44,44,44,6.195008473
Hsp83,scaffold_2,3187703,3189856,+,2154,44443,43395,43919,1042.083687
Acp36DE,scaffold_7;scaffold_7;scaffold_7,1982718;1984936;1985483,1984376;1985424;1985692,-;-;-,2358,26,25,25.5,0.5527035231
Ate1,scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1,13708526;13708676;13708882;13709102;13709360;13709556;13709909;13710365;13710873,13708618;13708827;13709045;13709283;13709509;13709708;13710081;13710799;13710957,-;-;-;-;-;-;-;-;-,1587,1300,1281,1290.5,41.56013364
CG11208,scaffold_1;scaffold_1;scaffold_1;scaffold_1,13696610;13696893;13698200;13698915,13696829;13698132;13698395;13698965,-;-;-;-,1707,995,935,965,28.89280094
beta4GalT7,scaffold_33;scaffold_33,110756;110914,110852;111404,+;+,588,138,135,136.5,11.86454748
Sod,scaffold_0;scaffold_0,3327907;3329034,3328302;3329099,-;-,462,6958,6678,6818,754.2422816
Top2,scaffold_7;scaffold_7;scaffold_7;scaffold_7,3063225;3063608;3066715;3067196,3063548;3066648;3067138;3067753,-;-;-;-,4347,625,632,628.5,7.389439455
FBgn0025653,scaffold_4;scaffold_4,4888667;4888824,4888765;4888916,+;+,192,115,110,112.5,29.94657416
FBgn0025046,scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2,397100;397636;398568;398854;399024;399819;400223;400522;401063;403306;406188,397348;398506;398715;398960;399217;399905;400344;400825;401130;403541;406432,-;-;-;-;-;-;-;-;-;-;-,2631,19,23,21,0.4079381292
mus209,scaffold_1;scaffold_1,13715513;13716247,13716187;13716354,-;-,783,51,51,51,3.328926967
Obp57e,scaffold_1;scaffold_1,13989702;13990121,13990055;13990177,-;-,411,8,11,9.5,1.181347419
FBgn0021176,scaffold_8;scaffold_8;scaffold_8;scaffold_8,1841731;1844448;1844770;1845079,1841749;1844707;1844987;1846156,+;+;+;+,1575,6104,5817,5960.5,193.4184895
Acp29AB,scaffold_3,3889007,3889711,-,705,5,5,5,0.3624739
FBgn0084258,scaffold_2106,172,2148,+,1977,0,0,0,0
FBgn0029259,scaffold_1;scaffold_1,10959941;10960121,10960051;10960219,+;+,210,690,684,687,167.1988537
tra,scaffold_0;scaffold_0,8674907;8675051,8674977;8675090,-;-,111,141,115,128,58.93629682
ppk6,scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1,13699498;13699692;13699856;13700051;13700845,13699637;13699801;13699973;13700787;13701206,-;-;-;-;-,1467,0,1,0.5,0.01741950235
kni,scaffold_11;scaffold_11;scaffold_11,575326;576762;578949,576531;576839;578960,-;-;-,1296,494,463,478.5,18.87003883
FBgn0020083,scaffold_24,163754,164395,+,642,0,0,0,0
FBgn0082769,scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1,13729670;13729988;13730227;13730737;13730915,13729928;13730171;13730679;13730856;13732343,-;-;-;-;-,2445,48,51,49.5,1.03471844
CecC,scaffold_4;scaffold_4,4893900;4894069,4893998;4894161,+;+,192,147,146,146.5,38.99709435
r2d2,scaffold_3;scaffold_3,3314735;3314940,3314879;3315730,+;+,936,1550,1514,1532,83.65247018
CkIIbeta2,scaffold_1;scaffold_1,13743214;13743838,13743764;13743946,+;+,660,3,3,3,0.2323128177
crm,scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10,2390949;2391107;2391325;2391765;2393377;2393842,2391050;2391258;2391697;2393320;2393580;2394382,-;-;-;-;-;-,2928,358,339,348.5,6.083136522
Acp62F,scaffold_2,2764719,2765072,+,354,21,23,22,3.176254344
w,scaffold_10;scaffold_10;scaffold_10;scaffold_10,2444744;2445423;2445762;2446134,2445358;2445554;2446077;2446195,-;-;-;-,1125,19,16,17.5,0.7950260874
CG11055,scaffold_1;scaffold_1;scaffold_1,13711830;13714258;13714444,13714196;13714383;13714599,+;+;+,2649,963,933,948,18.2903591
FBgn0013867,scaffold_6;scaffold_6;scaffold_6,3170614;3174893;3175086,3172163;3175013;3175253,-;-;-,1839,405,415,410,11.39457105
FBgn0026109,scaffold_8;scaffold_8;scaffold_8;scaffold_8,12131;15985;17605;17823,12221;16211;17744;18210,+;+;+;+,846,8,8,8,0.4832985334
Rel,scaffold_0;scaffold_0,17007184;17008392,17008095;17010392,+;+,2913,4700,4586,4643,81.46180941
Hsp68,scaffold_0,20222398,20224305,-,1908,6092,5896,5994,160.5588399
en,scaffold_1;scaffold_1;scaffold_1,4963014;4963548;4964779,4963262;4963645;4966084,-;-;-,1653,217,219,218,6.740304137
FBgn0043405,scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24,198865;199375;199627;199832;201833;205846,199021;199556;199734;200167;201878;205922,-;-;-;-;-;-,906,741,747,744,41.97015674
Ntf-2r,scaffold_7,2076161,2076553,+,393,3,2,2.5,0.3251197195
CG11788,scaffold_1;scaffold_1;scaffold_1,13728217;13728314;13729510,13728254;13729453;13729609,+;+;+,1278,76,69,72.5,2.899365761
FBgn0025847,scaffold_4;scaffold_4,4887716;4887874,4887811;4887951,+;+,174,0,0,0,0
FBgn0082768,scaffold_30;scaffold_30;scaffold_30;scaffold_30,316383;317933;318299;319625,317062;318243;318922;319968,+;+;+;+,1959,685,673,679,17.71459352
LanB2,scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0,1844529;1845039;1845238;1845434;1846469;1846947;1849591;1849985;1850347,1844723;1845172;1845365;1846048;1846880;1849532;1849927;1850285;1850558,+;+;+;+;+;+;+;+;+,4920,1220,1177,1198.5,12.44998387
FBgn0012799,scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10,2343390;2343785;2344003;2345097;2345516;2347279;2347592;2347776,2343416;2343933;2345036;2345453;2347212;2347514;2347718;2347847,+;+;+;+;+;+;+;+,3699,1491,1439,1465,20.2418008
Cpr56F,scaffold_1;scaffold_1;scaffold_1,13742404;13742660;13745339,13742616;13743046;13745344,-;-;-,606,7,5,6,0.5060279198
Src64B,scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2,4576552;4577228;4577603;4577962;4580020,4577166;4577535;4577856;4578178;4580284,-;-;-;-;-,1659,122,125,123.5,3.804665014
Eh,scaffold_12;scaffold_12;scaffold_12,872341;872527;872780,872449;872555;872935,+;+;+,294,69,69,69,11.99492712
Pros28.1A,scaffold_27,161473,162228,+,756,14,14,14,0.9464596278
rho,scaffold_2;scaffold_2;scaffold_2;scaffold_2,1500971;1501622;1502646;1503193,1500976;1501978;1503063;1503506,+;+;+;+,1095,743,740,741.5,34.6093059
Cat,scaffold_19;scaffold_19;scaffold_19,780057;783584;784626,780113;784504;785168,+;+;+,1521,3032,2941,2986.5,100.3527223
Hmr,scaffold_15;scaffold_15;scaffold_15;scaffold_15;scaffold_15;scaffold_15,1190121;1190692;1190923;1191097;1192503;1193854,1190632;1190834;1191031;1192101;1193789;1193902,-;-;-;-;-;-,3105,33,31,32,0.5267253581
Efhc1.2,scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1,13693830;13693936;13694610;13695197;13695850,13693880;13694489;13695129;13695718;13696500,+;+;+;+;+,2298,27,26,26.5,0.5893749902
Abd-B,scaffold_12;scaffold_12;scaffold_12;scaffold_12;scaffold_12,1396519;1397913;1398209;1399678;1399949,1397200;1398124;1398410;1399892;1400140,+;+;+;+;+,1503,0,0,0,0
Atg9,scaffold_1,9681407,9683944,+,2538,1749,1721,1735,34.93845647
CG13869,scaffold_1;scaffold_1;scaffold_1;scaffold_1,13692334;13692548;13692967;13693157,13692487;13692903;13693123;13693167,-;-;-;-,678,429,409,419,31.58494917
Est-6,scaffold_0;scaffold_0,4366819;4368250,4368199;4368497,+;+,1629,6996,6904,6950,218.0517485
